loop1: max_iter=50, norm_reduction(target=0.001, final=0.000963888)
  i                   resNorm                         J                        Jb                      JoJc
  0         1051.207017550686      1121266.150694380049            0.000000000000      1121266.150694380049
  1         1001.151334658024      1116750.483515466098           36.906031107564      1116713.577484358102
  2          626.805571551397      1114721.434193596011           85.738975688994      1114635.695217906963
  3          636.910528848995      1113346.346425283933          146.271179934513      1113200.075245348969
  4          462.047742163223      1111748.669598083943          271.437786512494      1111477.231811570935
  5          451.991494247767      1110550.675461956067          425.043725623764      1110125.631736333016
  6          356.179763645495      1109561.940558264032          611.537360733001      1108950.403197530890
  7          300.399718806225      1108799.268717583036          808.619676177894      1107990.649041404948
  8          246.876279364497      1108123.595976606943         1040.715417531439      1107082.880559074925
  9          215.842820624289      1107489.748413091991         1330.487483200715      1106159.260929890908
 10          189.285005704334      1107096.820133785950         1558.596571199270      1105538.223562585888
 11          160.227426794181      1106773.529653152917         1786.070428685624      1104987.459224468097
 12          153.988980951420      1106527.913799124071         1991.883157445116      1104536.030641678022
 13          128.695782462501      1106363.800811416935         2150.525855132370      1104213.274956285022
 14          108.553609053357      1106214.021194532979         2315.169333231542      1103898.851861302042
 15           93.886531842073      1106098.082017910900         2459.851736503678      1103638.230281407014
 16           79.801920308749      1106017.375596031081         2572.442901556831      1103444.932694474002
 17           69.058019401576      1105951.106183649972         2674.864237349330      1103276.241946300957
 18           57.553475465321      1105904.534115941031         2754.038423829514      1103150.495692111086
 19           50.386779152871      1105866.030417962931         2825.683253764396      1103040.347164198058
 20           50.295831229887      1105847.209959263913         2863.376348578470      1102983.833610686008
 21           39.346169946898      1105826.903612504015         2906.760540327718      1102920.143072176026
 22           34.686251491083      1105812.115829904098         2940.607783530424      1102871.508046373958
 23           25.819427051920      1105799.858392907074         2970.600384845839      1102829.258008060977
 24           25.443175505953      1105791.675838066032         2991.952332782697      1102799.723505283007
 25           22.019077618417      1105786.206754008075         3007.044134975706      1102779.162619031966
 26           17.235857448276      1105782.011279443977         3019.214742772575      1102762.796536671929
 27           14.726665997337      1105777.876990555087         3031.907217901221      1102745.969772653887
 28           12.873000627568      1105775.222730315989         3040.547920147181      1102734.674810169032
 29           10.780413229004      1105773.554254641989         3046.250525737507      1102727.303728904109
 30            9.343680516817      1105772.331407794030         3050.614838896267      1102721.716568897013
 31            7.718524525504      1105771.360725513892         3054.233202325145      1102717.127523188945
 32            6.499123793133      1105770.633194454946         3057.068102564801      1102713.565091890981
 33            5.505218415170      1105770.083144437987         3059.309154560370      1102710.773989877896
 34            4.509600876231      1105769.732463212917         3060.798482920583      1102708.933980293106
 35            3.674479856514      1105769.463970745914         3061.984420197683      1102707.479550547898
 36            3.000401406196      1105769.267838188913         3062.886545750457      1102706.381292439066
 37            2.496063287799      1105769.128559507895         3063.553830588764      1102705.574728919892
 38            2.204232457958      1105769.035329509061         3064.018474081967      1102705.016855427064
 39            1.720514643536      1105768.973415998975         3064.338432684651      1102704.634983313968
 40            1.497275537147      1105768.931547500892         3064.562214386828      1102704.369333114009
 41            1.175646521567      1105768.898665260989         3064.744114025792      1102704.154551235028
 42            1.013245781651      1105768.877390979091         3064.865912740054      1102704.011478238972

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000978356)
  i                   resNorm                         J                        Jb                      JoJc
  0           51.327275768295      1105794.187012546929         3064.865912740054      1102729.321099807043
  1           30.814312034681      1105766.809977917001         3067.547843980087      1102699.262133935932
  2           30.303319573666      1105754.819220345933         3069.962443915788      1102684.856776430039
  3           33.850530324974      1105752.015749636106         3070.717250212212      1102681.298499424011
  4           21.932153894599      1105748.705545532051         3071.885035291901      1102676.820510240039
