               program              observation         number         status
            larccld.fd                GOES_EAST        1041927           read
            larccld.fd                GOES_WEST         825241           read
           metarcld.fd                raw_METAR           5035           read
           metarcld.fd       METAR_on_MPAS_mesh        1108786      processed
          lightning.fd            raw_lightning          11761           read
          lightning.fd   lightning_on_MPAS_mesh           1561      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1108786       ingested
      cloudanalysis.fd                lightning           1561       ingested
      cloudanalysis.fd                     refl             33       ingested
