        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3892774  3892774  3892774       06       06     0.288919      3760558      3760558
     adpsfc_t181     9920      385      385      377      377       0.7528      2.44933     0.612673
     adpsfc_t183     9920      217      217      215      215      3.40997    0.0878595     0.027357
     adpsfc_t187     9920     2143     2143     2140     2140       2.2585     0.213818     0.143811
     adpsfc_q181     9920     3436     3436     3433     3433      942.089    0.0453607    0.0292067
     adpsfc_q183     9920     3651     3651     3646     3646       969.38     0.012813   0.00814306
     adpsfc_q187     9920     2486     2486     2483     2483      390.813     0.497472     0.307298
    adpsfc_ps181     9920      386      386      384      384        55.38      1.12732      0.24916
    adpsfc_ps187     9920     1886     1886     1886     1886      54.7606       1.3952     0.294842
    adpsfc_uv281     9920      672      672      666      666      1.72261     0.575214     0.293838
    adpsfc_uv284     9920      430      430      422      422      1.28775      1.09812      0.50198
    adpsfc_uv287     9920     4050     4050     4044     4044       1.5874     0.597401     0.396507
     aircar_t133    43108    18375    18375    18364    18364     0.942309     0.327354     0.187915
     aircar_q133    43108     1652     1652     1652     1652     0.245591     0.325563     0.213679
    aircar_uv233    43108    36862    36862    36836    36836      2.33025     0.358898     0.171872
     sfcshp_t180     3132      627      627      626      626      9.79013     0.127987     0.120069
     sfcshp_t183     3132       58       58       58       58      1.31306    0.0662366    0.0847211
     sfcshp_q180     3132      406      406      406      406   0.00111127        1.467     0.882796
     sfcshp_q183     3132      241      241      241      241      905.502     0.309033     0.257192
    sfcshp_ps180     3132     1224     1224     1209     1208      38.2804      3.36817     0.822099
    sfcshp_uv280     3132     1908     1908     1906     1906      2.65341     0.285725     0.165778
    sfcshp_uv282     3132       40       40       40       40        1.079      1.76509     0.155933
    sfcshp_uv284     3132      268      268      236      236      1.12611      1.66503     0.763787
